words,                input,             output,
eat_apple,            1 0 0 0 0 0 0 0,   0 0 0 1 0 0 0 0,
eat_orange,           1 0 0 0 0 0 0 0,   0 0 1 0 0 0 0 0,
eat_rice,             1 0 0 0 0 0 0 0,   0 0 0 0 1 0 0 0,
drink_juice,          0 1 0 0 0 0 0 0,   0 0 0 0 0 0 0 1,
drink_milk,           0 1 0 0 0 0 0 0,   0 0 0 0 0 1 0 0,
drink_water,          0 1 0 0 0 0 0 0,   0 0 0 0 0 0 1 0,
orange_juice,         0 0 1 0 0 0 0 0,   0 0 0 0 0 0 0 1,
apple_juice,          0 0 0 1 0 0 0 0,   0 0 0 0 0 0 0 1,
rice_milk,            0 0 0 0 1 0 0 0,   0 0 0 0 0 1 0 0,
milk_drink,           0 0 0 0 0 1 0 0,   0 1 0 0 0 0 0 0,
water_drink,          0 0 0 0 0 0 1 0,   0 1 0 0 0 0 0 0,
juice_drink,          0 0 0 0 0 0 0 1,   0 1 0 0 0 0 0 0,
